1,-1,590.78,425.27,34.41,80.83,0.86,-1,-1,-1
1,-1,634.44,380.27,25.64,62.25,0.84,-1,-1,-1
1,-1,621.40,393.43,26.14,64.15,0.84,-1,-1,-1
1,-1,659.47,299.55,22.35,51.19,0.84,-1,-1,-1
1,-1,444.32,402.07,20.99,54.16,0.83,-1,-1,-1
1,-1,601.81,263.79,22.18,47.33,0.82,-1,-1,-1
1,-1,415.18,534.17,35.98,80.31,0.82,-1,-1,-1
1,-1,491.11,399.31,19.46,39.65,0.79,-1,-1,-1
1,-1,454.25,413.61,21.39,46.49,0.67,-1,-1,-1
1,-1,317.60,721.56,55.36,93.35,0.65,-1,-1,-1
1,-1,301.33,738.01,46.23,108.42,0.28,-1,-1,-1
1,-1,486.28,369.86,22.37,41.00,0.27,-1,-1,-1
1,-1,595.68,173.06,14.55,28.52,0.27,-1,-1,-1
1,-1,785.15,742.73,17.33,22.23,0.10,-1,-1,-1
1,-1,731.78,739.55,24.44,49.13,0.06,-1,-1,-1
1,-1,536.38,377.27,27.91,55.42,0.06,-1,-1,-1
1,-1,641.40,253.25,18.35,42.22,0.06,-1,-1,-1
2,-1,591.01,426.79,34.21,81.09,0.87,-1,-1,-1
2,-1,620.87,392.93,26.90,65.16,0.85,-1,-1,-1
2,-1,658.69,300.58,23.16,51.16,0.85,-1,-1,-1
2,-1,634.46,379.99,25.54,62.42,0.84,-1,-1,-1
2,-1,444.76,402.11,21.78,55.97,0.82,-1,-1,-1
2,-1,414.77,534.03,38.75,83.73,0.82,-1,-1,-1
2,-1,602.10,263.81,22.19,46.96,0.82,-1,-1,-1
2,-1,490.00,398.59,20.20,41.66,0.79,-1,-1,-1
2,-1,454.27,413.22,22.48,48.08,0.67,-1,-1,-1
2,-1,313.27,721.79,60.27,110.04,0.66,-1,-1,-1
2,-1,486.03,369.66,21.81,39.16,0.35,-1,-1,-1
2,-1,595.48,173.03,14.75,28.77,0.21,-1,-1,-1
2,-1,293.62,738.93,51.34,111.07,0.17,-1,-1,-1
2,-1,471.85,351.13,18.15,32.27,0.12,-1,-1,-1
2,-1,641.36,256.79,17.58,39.52,0.08,-1,-1,-1
2,-1,696.37,744.78,18.84,24.14,0.06,-1,-1,-1
2,-1,643.60,744.06,25.28,42.51,0.05,-1,-1,-1
